time	V(bit0)	V(bit1)	V(bit2)	V(bit3)	V(bitline0)	V(bitline1)
4.103204706648829e-09	1.347168e+00	6.734806e-01	1.347168e+00	1.347168e+00	6.724247e-01	6.724296e-01
4.327814081648830e-09	1.347168e+00	6.734806e-01	1.347168e+00	1.347168e+00	6.727794e-01	6.727835e-01
4.552423456648830e-09	1.347168e+00	6.734805e-01	1.347168e+00	1.347168e+00	6.730852e-01	6.730887e-01
4.777032831648830e-09	1.347168e+00	6.734805e-01	1.347168e+00	1.347168e+00	6.733490e-01	6.733520e-01
5.001642206648831e-09	1.347168e+00	6.734805e-01	1.347168e+00	1.347168e+00	6.735764e-01	6.735790e-01
5.226251581648831e-09	1.347168e+00	6.734805e-01	1.347168e+00	1.347168e+00	6.737726e-01	6.737748e-01
5.450860956648831e-09	1.347168e+00	6.734805e-01	1.347168e+00	1.347168e+00	6.739417e-01	6.739436e-01
5.675470331648832e-09	1.347168e+00	6.734805e-01	1.347168e+00	1.347168e+00	6.740875e-01	6.740892e-01
5.900079706648832e-09	1.347168e+00	6.734805e-01	1.347168e+00	1.347168e+00	6.742133e-01	6.742147e-01
6.124689081648832e-09	1.347168e+00	6.734805e-01	1.347168e+00	1.347168e+00	6.743217e-01	6.743228e-01
6.349298456648833e-09	1.347168e+00	6.734805e-01	1.347168e+00	1.347168e+00	6.744151e-01	6.744162e-01
6.573907831648833e-09	1.347168e+00	6.734805e-01	1.347168e+00	1.347168e+00	6.744957e-01	6.744966e-01
6.798517206648833e-09	1.347168e+00	6.734805e-01	1.347168e+00	1.347168e+00	6.745651e-01	6.745659e-01
7.023126581648834e-09	1.347168e+00	6.734805e-01	1.347168e+00	1.347168e+00	6.746250e-01	6.746256e-01
7.247735956648834e-09	1.347168e+00	6.734805e-01	1.347168e+00	1.347168e+00	6.746766e-01	6.746771e-01
7.472345331648833e-09	1.347168e+00	6.734805e-01	1.347168e+00	1.347168e+00	6.747211e-01	6.747216e-01
7.696954706648833e-09	1.347167e+00	6.734805e-01	1.347167e+00	1.347167e+00	6.747594e-01	6.747599e-01
7.921564081648832e-09	1.347167e+00	6.734805e-01	1.347167e+00	1.347167e+00	6.747925e-01	6.747928e-01
8.146173456648832e-09	1.347167e+00	6.734805e-01	1.347167e+00	1.347167e+00	6.748210e-01	6.748213e-01
8.370782831648831e-09	1.347167e+00	6.734805e-01	1.347167e+00	1.347167e+00	6.748456e-01	6.748458e-01
8.595392206648831e-09	1.347167e+00	6.734804e-01	1.347167e+00	1.347167e+00	6.748667e-01	6.748669e-01
8.820001581648830e-09	1.347167e+00	6.734804e-01	1.347167e+00	1.347167e+00	6.748850e-01	6.748852e-01
9.044610956648830e-09	1.347167e+00	6.734804e-01	1.347167e+00	1.347167e+00	6.749007e-01	6.749009e-01
9.269220331648829e-09	1.347167e+00	6.734804e-01	1.347167e+00	1.347167e+00	6.749143e-01	6.749145e-01
9.493829706648829e-09	1.347167e+00	6.734804e-01	1.347167e+00	1.347167e+00	6.749260e-01	6.749261e-01
9.718439081648828e-09	1.347167e+00	6.734804e-01	1.347167e+00	1.347167e+00	6.749361e-01	6.749362e-01
9.943048456648828e-09	1.347167e+00	6.734804e-01	1.347167e+00	1.347167e+00	6.749448e-01	6.749449e-01
1.016765783164883e-08	1.347167e+00	6.734804e-01	1.347167e+00	1.347167e+00	6.749523e-01	6.749524e-01
1.039226720664883e-08	1.347167e+00	6.734804e-01	1.347167e+00	1.347167e+00	6.749587e-01	6.749588e-01
1.061687658164883e-08	1.347167e+00	6.734804e-01	1.347167e+00	1.347167e+00	6.749643e-01	6.749644e-01
1.084148595664883e-08	1.347167e+00	6.734803e-01	1.347167e+00	1.347167e+00	6.749691e-01	6.749692e-01
1.129070470664882e-08	1.347167e+00	6.734803e-01	1.347167e+00	1.347167e+00	6.749768e-01	6.749769e-01
1.173992345664882e-08	1.347167e+00	6.734803e-01	1.347167e+00	1.347167e+00	6.749826e-01	6.749826e-01
1.218914220664882e-08	1.347167e+00	6.734803e-01	1.347167e+00	1.347167e+00	6.749869e-01	6.749869e-01
1.286297033164882e-08	1.347167e+00	6.734803e-01	1.347167e+00	1.347167e+00	6.749914e-01	6.749914e-01
1.331218908164882e-08	1.347167e+00	6.734803e-01	1.347167e+00	1.347167e+00	6.749932e-01	6.749932e-01
1.376140783164882e-08	1.347167e+00	6.734803e-01	1.347167e+00	1.347167e+00	6.749947e-01	6.749947e-01
1.421062658164882e-08	1.347167e+00	6.734803e-01	1.347167e+00	1.347167e+00	6.749960e-01	6.749960e-01
1.465984533164882e-08	1.347167e+00	6.734803e-01	1.347167e+00	1.347167e+00	6.749970e-01	6.749970e-01
1.510906408164882e-08	1.347167e+00	6.734803e-01	1.347167e+00	1.347167e+00	6.749978e-01	6.749978e-01
1.555828283164882e-08	1.347167e+00	6.734802e-01	1.347167e+00	1.347167e+00	6.749982e-01	6.749982e-01
1.600750158164882e-08	1.347167e+00	6.734802e-01	1.347167e+00	1.347167e+00	6.749984e-01	6.749984e-01
1.735515783164881e-08	1.347167e+00	6.734802e-01	1.347167e+00	1.347167e+00	6.749989e-01	6.749989e-01
1.870281408164881e-08	1.347166e+00	6.734801e-01	1.347166e+00	1.347166e+00	6.749992e-01	6.749992e-01
2.005047033164881e-08	1.347166e+00	6.734801e-01	1.347166e+00	1.347166e+00	6.749995e-01	6.749995e-01
2.139812658164881e-08	1.347166e+00	6.734801e-01	1.347166e+00	1.347166e+00	6.749997e-01	6.749997e-01
2.274578283164880e-08	1.347166e+00	6.734800e-01	1.347166e+00	1.347166e+00	6.749998e-01	6.749998e-01
2.409343908164880e-08	1.347166e+00	6.734800e-01	1.347166e+00	1.347166e+00	6.749998e-01	6.749998e-01
2.544109533164880e-08	1.347166e+00	6.734800e-01	1.347166e+00	1.347166e+00	6.749997e-01	6.749997e-01
2.560000000000000e-08	1.347166e+00	6.734799e-01	1.347166e+00	1.347166e+00	6.749995e-01	6.749995e-01
2.561266828754074e-08	1.347166e+00	6.734799e-01	1.347166e+00	1.347166e+00	6.698823e-01	6.699110e-01
2.563800486262221e-08	1.347166e+00	6.734799e-01	1.347166e+00	1.347166e+00	6.622396e-01	6.622829e-01
2.568867801278515e-08	1.347166e+00	6.734799e-01	1.347166e+00	1.347166e+00	6.557408e-01	6.557227e-01
2.576004010311279e-08	1.347166e+00	6.734799e-01	1.347166e+00	1.347166e+00	6.541114e-01	6.540476e-01
2.584844190777987e-08	1.347166e+00	6.734799e-01	1.347166e+00	1.347166e+00	6.492622e-01	6.493577e-01
2.593958167578620e-08	1.347166e+00	6.734799e-01	1.347166e+00	1.347166e+00	6.446176e-01	6.448146e-01
2.612186121179885e-08	1.347166e+00	6.734799e-01	1.347166e+00	1.347166e+00	6.444088e-01	6.444774e-01
2.620000000000000e-08	1.347166e+00	6.734799e-01	1.347166e+00	1.347166e+00	6.456673e-01	6.456701e-01
2.622246093750000e-08	1.347166e+00	6.734799e-01	1.347166e+00	1.347166e+00	6.489763e-01	6.488754e-01
2.626738281250000e-08	1.347166e+00	6.734799e-01	1.347166e+00	1.347166e+00	6.540390e-01	6.538119e-01
2.635722656250000e-08	1.347166e+00	6.734799e-01	1.347166e+00	1.347166e+00	6.595725e-01	6.592879e-01
2.653691406250000e-08	1.347166e+00	6.734799e-01	1.347166e+00	1.347166e+00	6.635514e-01	6.633480e-01
2.676152343750000e-08	1.347166e+00	6.734799e-01	1.347166e+00	1.347166e+00	6.645836e-01	6.644845e-01
