time	V(bit0)	V(bit1)	V(bit2)	V(bit3)	V(bitline0)	V(bitline1)
4.103204556626445e-09	1.347168e+00	6.734806e-01	1.347168e+00	2.018266e-08	6.724247e-01	6.724296e-01
4.327813931626445e-09	1.347168e+00	6.734806e-01	1.347168e+00	2.116714e-08	6.727794e-01	6.727835e-01
4.552423306626446e-09	1.347168e+00	6.734805e-01	1.347168e+00	2.217078e-08	6.730852e-01	6.730887e-01
4.777032681626446e-09	1.347168e+00	6.734805e-01	1.347168e+00	2.319250e-08	6.733490e-01	6.733520e-01
5.001642056626446e-09	1.347168e+00	6.734805e-01	1.347168e+00	2.423111e-08	6.735764e-01	6.735790e-01
5.226251431626447e-09	1.347168e+00	6.734805e-01	1.347168e+00	2.528533e-08	6.737726e-01	6.737748e-01
5.450860806626447e-09	1.347168e+00	6.734805e-01	1.347168e+00	2.635391e-08	6.739417e-01	6.739436e-01
5.675470181626447e-09	1.347168e+00	6.734805e-01	1.347168e+00	2.743558e-08	6.740875e-01	6.740892e-01
5.900079556626448e-09	1.347168e+00	6.734805e-01	1.347168e+00	2.852916e-08	6.742133e-01	6.742147e-01
6.124688931626448e-09	1.347168e+00	6.734805e-01	1.347168e+00	2.963351e-08	6.743217e-01	6.743228e-01
6.349298306626448e-09	1.347168e+00	6.734805e-01	1.347168e+00	3.074755e-08	6.744151e-01	6.744162e-01
6.573907681626449e-09	1.347168e+00	6.734805e-01	1.347168e+00	3.187029e-08	6.744957e-01	6.744966e-01
6.798517056626449e-09	1.347168e+00	6.734805e-01	1.347168e+00	3.300082e-08	6.745651e-01	6.745659e-01
7.023126431626449e-09	1.347168e+00	6.734805e-01	1.347168e+00	3.413831e-08	6.746250e-01	6.746256e-01
7.247735806626450e-09	1.347168e+00	6.734805e-01	1.347168e+00	3.528199e-08	6.746766e-01	6.746771e-01
7.472345181626449e-09	1.347168e+00	6.734805e-01	1.347168e+00	3.643117e-08	6.747211e-01	6.747216e-01
7.696954556626449e-09	1.347167e+00	6.734805e-01	1.347167e+00	3.758523e-08	6.747594e-01	6.747599e-01
7.921563931626448e-09	1.347167e+00	6.734805e-01	1.347167e+00	3.874361e-08	6.747925e-01	6.747928e-01
8.146173306626448e-09	1.347167e+00	6.734805e-01	1.347167e+00	3.990582e-08	6.748210e-01	6.748213e-01
8.370782681626447e-09	1.347167e+00	6.734805e-01	1.347167e+00	4.107139e-08	6.748456e-01	6.748458e-01
8.595392056626447e-09	1.347167e+00	6.734804e-01	1.347167e+00	4.223993e-08	6.748667e-01	6.748669e-01
8.820001431626446e-09	1.347167e+00	6.734804e-01	1.347167e+00	4.341108e-08	6.748850e-01	6.748852e-01
9.044610806626446e-09	1.347167e+00	6.734804e-01	1.347167e+00	4.458454e-08	6.749007e-01	6.749009e-01
9.269220181626445e-09	1.347167e+00	6.734804e-01	1.347167e+00	4.576001e-08	6.749143e-01	6.749145e-01
9.493829556626445e-09	1.347167e+00	6.734804e-01	1.347167e+00	4.693726e-08	6.749260e-01	6.749261e-01
9.718438931626444e-09	1.347167e+00	6.734804e-01	1.347167e+00	4.811606e-08	6.749361e-01	6.749362e-01
9.943048306626444e-09	1.347167e+00	6.734804e-01	1.347167e+00	4.929622e-08	6.749448e-01	6.749449e-01
1.016765768162644e-08	1.347167e+00	6.734804e-01	1.347167e+00	5.047756e-08	6.749523e-01	6.749524e-01
1.039226705662644e-08	1.347167e+00	6.734804e-01	1.347167e+00	5.165996e-08	6.749587e-01	6.749588e-01
1.061687643162644e-08	1.347167e+00	6.734804e-01	1.347167e+00	5.284326e-08	6.749643e-01	6.749644e-01
1.084148580662644e-08	1.347167e+00	6.734803e-01	1.347167e+00	5.402735e-08	6.749691e-01	6.749692e-01
1.129070455662644e-08	1.347167e+00	6.734803e-01	1.347167e+00	5.639754e-08	6.749768e-01	6.749769e-01
1.173992330662644e-08	1.347167e+00	6.734803e-01	1.347167e+00	5.876984e-08	6.749826e-01	6.749826e-01
1.218914205662644e-08	1.347167e+00	6.734803e-01	1.347167e+00	6.114375e-08	6.749869e-01	6.749869e-01
1.286297018162644e-08	1.347167e+00	6.734803e-01	1.347167e+00	6.470680e-08	6.749914e-01	6.749914e-01
1.331218893162644e-08	1.347167e+00	6.734803e-01	1.347167e+00	6.708348e-08	6.749932e-01	6.749932e-01
1.376140768162644e-08	1.347167e+00	6.734803e-01	1.347167e+00	6.946049e-08	6.749947e-01	6.749947e-01
1.421062643162643e-08	1.347167e+00	6.734803e-01	1.347167e+00	7.183781e-08	6.749960e-01	6.749960e-01
1.465984518162643e-08	1.347167e+00	6.734803e-01	1.347167e+00	7.421546e-08	6.749970e-01	6.749970e-01
1.510906393162643e-08	1.347167e+00	6.734803e-01	1.347167e+00	7.659344e-08	6.749978e-01	6.749978e-01
1.555828268162643e-08	1.347167e+00	6.734802e-01	1.347167e+00	7.897174e-08	6.749982e-01	6.749982e-01
1.600750143162643e-08	1.347167e+00	6.734802e-01	1.347167e+00	8.135036e-08	6.749984e-01	6.749984e-01
1.735515768162643e-08	1.347167e+00	6.734802e-01	1.347167e+00	8.848643e-08	6.749989e-01	6.749989e-01
1.870281393162642e-08	1.347166e+00	6.734801e-01	1.347166e+00	9.562261e-08	6.749992e-01	6.749992e-01
2.005047018162642e-08	1.347166e+00	6.734801e-01	1.347166e+00	1.027589e-07	6.749995e-01	6.749995e-01
2.139812643162642e-08	1.347166e+00	6.734801e-01	1.347166e+00	1.098953e-07	6.749997e-01	6.749997e-01
2.274578268162642e-08	1.347166e+00	6.734800e-01	1.347166e+00	1.170318e-07	6.749998e-01	6.749998e-01
2.409343893162642e-08	1.347166e+00	6.734800e-01	1.347166e+00	1.241683e-07	6.749998e-01	6.749998e-01
2.544109518162641e-08	1.347166e+00	6.734800e-01	1.347166e+00	1.313050e-07	6.749997e-01	6.749997e-01
2.560000000000000e-08	1.347166e+00	6.734799e-01	1.347166e+00	1.321465e-07	6.749995e-01	6.749995e-01
2.561266829802043e-08	1.347166e+00	6.734799e-01	1.347166e+00	1.322126e-07	6.698823e-01	6.699110e-01
2.563800489406130e-08	1.347166e+00	6.734799e-01	1.347166e+00	1.323435e-07	6.622396e-01	6.622829e-01
2.568867808614302e-08	1.347166e+00	6.734799e-01	1.347166e+00	1.326031e-07	6.557408e-01	6.557227e-01
2.576004016308078e-08	1.347166e+00	6.734799e-01	1.347166e+00	1.329679e-07	6.541114e-01	6.540476e-01
2.584844205777713e-08	1.347166e+00	6.734799e-01	1.347166e+00	1.334187e-07	6.492621e-01	6.493577e-01
2.593958178798835e-08	1.347166e+00	6.734799e-01	1.347166e+00	1.338815e-07	6.446176e-01	6.448146e-01
2.612186124841079e-08	1.347166e+00	6.734799e-01	1.347166e+00	1.348083e-07	6.444088e-01	6.444774e-01
2.620000000000000e-08	1.347166e+00	6.734799e-01	1.347166e+00	1.352079e-07	6.456673e-01	6.456701e-01
2.622246093750000e-08	1.347166e+00	6.734799e-01	1.347166e+00	1.353247e-07	6.489763e-01	6.488754e-01
2.626738281250000e-08	1.347166e+00	6.734799e-01	1.347166e+00	1.355600e-07	6.540390e-01	6.538119e-01
2.635722656250000e-08	1.347166e+00	6.734799e-01	1.347166e+00	1.360351e-07	6.595725e-01	6.592879e-01
2.653691406250000e-08	1.347166e+00	6.734799e-01	1.347166e+00	1.369919e-07	6.635514e-01	6.633480e-01
